"hhold_ID","discount_original","coupon_received","cabin_type","est_inc","season_of_year","ticket_spend","cruise_theme","incidental_spending","park_package","embark_port","res_to_port","number_children","oldest_child_age","dis_plus_sub","return_1065"
6705,1,0,"Inside",58.9,"Winter",2349,"Star Wars",11373.1804149561,1,"Port Canaveral",251,2,4,1,0
6881,1,0,"Inside",173156.576,"Summer",2298,"Star Wars",12221.0166073952,1,"Port Canaveral",333,3,11,1,0
3252,1,0,"Oceanview",18583.538,"Spring",2803,"Princess/Frozen",2898.75434300911,1,"New York",467,1,15,0,0
1445,1,0,"Oceanview",152127.257,"Fall",2846,"Marvel",12190.7378526285,1,"New York",435,3,14,1,0
4713,1,0,"Inside",4843.261,"Spring",2386,"Star Wars",2898.75434300911,1,"San Diego",263,1,6,1,1
5900,1,0,"Inside",1799.388,"Summer",2555,"NaN",1780.87765731663,1,"San Diego",321,2,5,0,0
6323,1,0,"Oceanview",3732.67,"Spring",2196,"NaN",2898.75434300911,1,"San Diego",362,3,11,0,1
6718,1,1,"Oceanview",148.258,"Winter",2378,"Marvel",2898.75434300911,1,"Copenhagen",285,2,15,1,1
7439,1,0,"Verandah",2838.823,"Fall",3064,"Star Wars",5412.97850852534,1,"Port Canaveral",257,1,10,0,0
287,1,0,"Oceanview",168146.8293984,"Fall",2447,"Marvel",12759.7105049577,1,"Vancouver",29,3,4,0,0
676,1,0,"Concierge",37309.177,"Winter",2170,"starwars",2898.75434300911,1,"Vancouver",37,3,10,0,0
750,1,0,"Inside",2211760.982,"Winter",1663,"Marvel",12041.2178416554,1,"Vancouver",159,4,9,0,0
762,1,0,"Verandah",7534783.908,"Winter",3034,"Marvel",45905.5588302951,1,"San Diego",31,4,8,0,0
832,1,0,"Oceanview",58301.585,"Summer",2130,"Princess/Frozen",8519.09415076561,1,"Vancouver",75,3,2,1,1
1166,1,0,"Verandah",69.07,"Summer",1828,"Marvel",2898.75434300911,1,"San Diego",25,3,8,1,0
1292,1,0,"Oceanview",1949502.344,"Fall",1718,"prin_fro",25314.398782023,1,"Vancouver",45,3,3,1,0
1408,1,0,"Oceanview",336530.91,"Winter",2559,"NaN",2898.75434300911,1,"San Diego",37,4,5,1,0
1672,1,1,"Inside",2664.872,"Spring",2376,"Princess/Frozen",2898.75434300911,1,"San Diego",13,3,3,1,0
2133,1,1,"Oceanview",16250.783904,"Winter",1931,"prin_fro",10060.5683616403,1,"Vancouver",47,5,4,0,0
2157,1,0,"Oceanview",160128.372,"Summer",1971,"starwars",2898.75434300911,1,"Vancouver",148,6,4,1,0
2245,1,0,"Inside",2367785.833,"Winter",2405,"NaN",2789.00148289725,1,"Vancouver",82,3,6,1,0
2921,1,0,"Concierge",424359.848,"Summer",2794,"starwars",13941.0347059187,1,"Vancouver",15,3,10,1,0
3344,1,0,"Inside",87202.037,"Winter",2402,"Princess/Frozen",2898.75434300911,1,"San Diego",27,5,9,0,0
3345,1,0,"Inside",8502530.297,"Fall",1728,"starwars",59440.7951246183,1,"San Diego",34,3,5,0,1
3502,1,0,"Inside",140163.922,"Winter",1507,"NaN",13604.6624316189,1,"Vancouver",40,3,3,0,0
3709,1,0,"Verandah",22528.3245264,"Winter",2088,"prin_fro",16980.9935980927,1,"Vancouver",30,3,6,0,0
4121,1,0,"Inside",2580.106,"Fall",2296,"prin_fro",2898.75434300911,1,"Vancouver",96,4,6,1,0
4271,1,0,"Verandah",2323441.58,"Winter",2142,"Marvel",4236.7169195909,1,"Vancouver",143,3,3,0,0
4515,1,1,"Inside",4953164.24,"Fall",1869,"starwars",35641.7680134539,1,"San Diego",34,3,10,1,0
4682,1,1,"Inside",3234.388,"Winter",1125,"prin_fro",9301.6221599672,1,"Vancouver",46,5,2,1,1
5093,1,0,"Verandah",13536.744,"Fall",2417,"starwars",10214.808325889,1,"San Diego",31,3,6,0,1
5187,1,1,"Concierge",124450.64,"Spring",2418,"starwars",2937.50411492102,1,"Vancouver",25,3,6,0,0
5796,1,0,"Oceanview",162406.499,"Spring",2074,"Marvel",2898.75434300911,1,"San Diego",19,3,8,1,0
5928,1,0,"Inside",994959.655,"Spring",1986,"Princess/Frozen",2898.75434300911,1,"Vancouver",72,3,6,1,0
5938,1,0,"Inside",1074890,"Winter",1482,"Star Wars",2898.75434300911,1,"Vancouver",12,4,3,0,0
6024,1,0,"Inside",81363.802,"Winter",1838,"Marvel",2898.75434300911,1,"Vancouver",70,3,6,0,0
6306,1,1,"Oceanview",510734.609,"Fall",2542,"starwars",3803.52330784723,1,"Vancouver",111,4,6,0,0
6849,1,0,"Inside",1102847.603,"Fall",2414,"starwars",12806.6073450807,1,"Vancouver",54,4,4,1,1
6876,1,1,"Concierge",6667703.24,"Spring",2240,"NaN",42872.1827175356,1,"Vancouver",46,3,3,0,0
7161,1,0,"Concierge",1033683.522,"Summer",2405,"Marvel",7723.14385786764,1,"Vancouver",48,3,5,1,0
7241,1,1,"Oceanview",764074.65,"Spring",2777,"Princess/Frozen",3909.21071175747,1,"Vancouver",27,4,2,1,0
629,1,0,"Oceanview",308.615,"Winter",2119,"starwars",4890.3228619419,1,"San Diego",23,4,9,0,0
681,1,1,"Inside",20319.3306512,"Fall",2369,"starwars",2898.75434300911,1,"Vancouver",16,3,6,0,0
804,1,1,"Verandah",6389.069,"Spring",2113,"starwars",8319.31030327789,1,"Vancouver",24,3,5,0,0
854,1,1,"Concierge",16959.5488064,"Spring",2428,"prin_fro",3308.70743113235,1,"Vancouver",49,3,3,1,0
875,1,0,"Inside",51291.352,"Spring",1556,"Princess/Frozen",12850.7429392107,1,"San Diego",41,3,3,0,0
889,1,0,"Inside",53069.971,"Spring",2492,"Princess/Frozen",8103.65050366782,1,"Vancouver",89,4,7,0,0
907,1,1,"Concierge",40592.466,"Fall",2586,"Star Wars",8649.73893605396,1,"Vancouver",86,5,4,1,0
1278,1,1,"Verandah",15452.559,"Fall",2320,"prin_fro",12935.0390901208,1,"Vancouver",81,4,7,0,1
1755,1,1,"Verandah",165335.109,"Spring",2095,"starwars",10840.9594162192,1,"Vancouver",74,5,4,0,0
1833,1,0,"Inside",12665.306,"Winter",2506,"Princess/Frozen",1760.40037238263,1,"Vancouver",29,3,3,0,0
2042,1,0,"Inside",42815.894,"Summer",2175,"Princess/Frozen",2898.75434300911,1,"Vancouver",125,3,8,0,0
2119,1,1,"Concierge",41308.685,"Spring",3135,"Marvel",9278.18789925389,1,"Vancouver",35,3,10,0,0
3033,1,0,"Oceanview",1579.113,"Winter",1690,"Marvel",12541.5810080431,1,"San Diego",17,3,8,0,0
3337,1,1,"Concierge",404085.921,"Summer",2331,"prin_fro",2898.75434300911,1,"San Diego",27,3,5,1,1
3379,1,0,"Inside",84627.909,"Spring",2348,"prin_fro",11866.9877398521,1,"San Diego",37,4,9,0,0
3635,1,1,"Concierge",143187.297,"Winter",2967,"Star Wars",2485.2898842454,1,"Vancouver",60,4,8,1,0
3695,1,0,"Inside",84.568,"Fall",1480,"prin_fro",2898.75434300911,1,"San Diego",40,3,2,0,0
4304,1,1,"Inside",3073.217,"Fall",2486,"prin_fro",2898.75434300911,1,"San Diego",15,3,6,0,1
4608,1,0,"Verandah",231789.261,"Winter",1941,"Star Wars",2898.75434300911,1,"Vancouver",50,3,8,1,0
4674,1,0,"Oceanview",7255.038,"Spring",1730,"Star Wars",2898.75434300911,1,"Vancouver",99,5,3,0,0
4677,1,0,"Inside",361795.647,"Spring",1688,"Princess/Frozen",2898.75434300911,1,"San Diego",13,4,5,1,1
4939,1,0,"Concierge",48275.233,"Spring",2440,"Princess/Frozen",11388.7372142792,1,"Vancouver",9,3,9,0,0
4983,1,0,"Concierge",1768.413,"Spring",2673,"prin_fro",2898.75434300911,1,"Vancouver",73,4,7,1,0
4985,1,1,"Inside",12402.208,"Summer",1665,"NaN",6617.00642708465,1,"Vancouver",139,4,7,0,0
5353,1,0,"Inside",616.606,"Summer",2003,"NaN",2898.75434300911,1,"Vancouver",191,3,6,1,0
5367,1,0,"Concierge",30772.021,"Summer",3397,"prin_fro",3690.36355630606,1,"Vancouver",28,3,7,0,0
5718,1,0,"Verandah",9705.564,"Winter",2623,"NaN",2898.75434300911,1,"Vancouver",108,3,10,0,0
5762,1,0,"Inside",2175.523,"Spring",1756,"Star Wars",3787.18556279019,1,"Vancouver",149,3,8,0,0
5815,1,0,"Concierge",96614.634,"Winter",3143,"Marvel",2898.75434300911,1,"San Diego",11,3,9,0,0
6322,1,1,"Concierge",11002.943,"Fall",3507,"Marvel",2898.75434300911,1,"Vancouver",105,3,10,1,0
6445,1,1,"Verandah",12912.246,"Winter",2368,"starwars",2577.04698186778,1,"Vancouver",53,4,8,0,0
6626,1,0,"Concierge",19063.996,"Spring",3484,"NaN",5699.28139228448,1,"Vancouver",24,3,8,0,0
7171,1,0,"Oceanview",154.721,"Fall",2503,"Marvel",6202.01295965724,1,"Vancouver",18,5,5,0,0
7192,1,1,"Inside",161064.004,"Summer",2385,"starwars",2898.75434300911,1,"San Diego",35,5,4,0,0
7219,1,0,"Verandah",262241.805,"Winter",2743,"Princess/Frozen",3075.98735980429,1,"Vancouver",108,3,8,0,0
7289,1,0,"Verandah",229325.743,"Spring",2148,"Princess/Frozen",2898.75434300911,1,"Vancouver",49,3,10,0,0
3335,1,0,"Concierge",2197297.899,"Summer",2330,"Star Wars",7574.07874993198,1,"Port Canaveral",14,4,7,0,1
3870,1,1,"Oceanview",621630.653,"Spring",1561,"Star Wars",2226.26013990529,1,"Port Canaveral",37,3,3,1,0
4259,1,0,"Oceanview",80.153,"Spring",1724,"starwars",2898.75434300911,1,"Port Canaveral",20,3,7,0,0
6789,1,0,"Inside",355701.563,"Spring",1274,"Star Wars",10741.9685907461,1,"Port Canaveral",29,4,9,0,0
345,1,0,"Oceanview",26079.15,"Winter",2686,"Princess/Frozen",2898.75434300911,1,"Port Canaveral",31,4,6,1,0
987,1,0,"Verandah",19087.6427376,"Spring",2658,"NaN",2472.56823400185,1,"Port Canaveral",20,3,8,0,1
1623,1,0,"Verandah",242165.702,"Winter",2297,"starwars",2898.75434300911,1,"Port Canaveral",30,3,8,1,0
1642,1,0,"Oceanview",4493.999,"Spring",1612,"Princess/Frozen",2898.75434300911,1,"Port Canaveral",16,4,7,1,0
2159,1,0,"Oceanview",542255.71,"Winter",2094,"Star Wars",2898.75434300911,1,"Port Canaveral",27,3,6,0,0
2487,1,0,"Verandah",362750.87,"Spring",2658,"NaN",2898.75434300911,1,"Port Canaveral",32,3,2,0,0
5037,1,0,"Concierge",313.85,"Fall",2725,"starwars",2898.75434300911,1,"Port Canaveral",19,3,10,0,0
40,1,0,"Oceanview",318434.344,"Winter",2334,"NaN",3121.92667934187,1,"Barcelona",50,4,3,0,0
163,1,1,"Inside",438303.424,"Summer",1349,"NaN",2514.51589421667,1,"Port Canaveral",100,3,5,1,0
169,1,0,"Oceanview",19566.787,"Winter",1722,"Star Wars",3743.50998377688,1,"Barcelona",22,4,7,0,0
176,1,0,"Verandah",24492.211,"Winter",2351,"Marvel",2554.17963104434,1,"Barcelona",49,3,6,0,0
281,1,0,"Verandah",1337280.892,"Spring",2909,"Marvel",11530.6591079883,1,"Barcelona",96,3,10,0,0
322,1,0,"Verandah",1792453.604,"Winter",2619,"prin_fro",3213.78874210492,1,"San Diego",112,3,9,0,1
529,1,0,"Oceanview",5204077.511,"Spring",2736,"Star Wars",35723.1299148642,1,"Port Canaveral",58,5,9,0,0
551,1,0,"Oceanview",650669.807,"Spring",2747,"Princess/Frozen",2851.94933667891,1,"Copenhagen",123,4,10,1,0
637,1,1,"Oceanview",10811.772,"Winter",1960,"Marvel",4173.6767491594,1,"Copenhagen",25,4,5,1,0
679,1,1,"Verandah",1152.958,"Winter",2623,"prin_fro",3385.23041457608,1,"New York",148,3,8,0,0
807,1,1,"Verandah",541053.465,"Fall",2016,"prin_fro",1955.66386602968,1,"Copenhagen",91,3,7,1,0
1000,1,0,"Inside",686520.7357376,"Spring",1295,"Marvel",2228.90629054345,1,"Port Canaveral",170,4,3,0,0
1371,1,0,"Oceanview",1270977.621,"Winter",2341,"Marvel",19369.6934697721,1,"New York",64,3,10,0,1
1461,1,0,"Inside",42458.941,"Fall",2340,"NaN",12328.8399630405,1,"New York",57,4,3,0,0
1482,1,1,"Oceanview",87190.487,"Fall",1834,"prin_fro",3169.25678028837,1,"Port Canaveral",75,4,10,1,0
1611,1,0,"Verandah",6026594.588,"Spring",1808,"NaN",19009.1306680091,1,"Copenhagen",176,3,4,0,1
1627,1,0,"Oceanview",903664.718,"Spring",2295,"starwars",9867.13695470169,1,"Port Canaveral",47,5,2,0,0
1643,1,1,"Inside",39113.98,"Summer",1918,"Princess/Frozen",2898.75434300911,1,"New York",46,6,10,1,0
1677,1,0,"Oceanview",1252497.902,"Fall",1628,"starwars",3269.42191794515,1,"Barcelona",73,4,4,1,0
1707,1,1,"Concierge",13287.013,"Spring",2991,"Star Wars",2898.75434300911,1,"New York",113,3,6,0,0
1784,1,1,"Verandah",277478.837,"Winter",1873,"prin_fro",4641.35446484946,1,"New York",49,3,4,1,0
1949,1,0,"Verandah",418261.008,"Spring",2539,"Star Wars",5291.43653478734,1,"Barcelona",47,3,8,1,0
1958,1,0,"Concierge",10792.838,"Winter",3000,"Star Wars",9928.91903979033,1,"San Diego",149,3,6,0,1
2017,1,0,"Oceanview",310252.502,"Spring",1649,"Star Wars",10767.7618102085,1,"New York",50,3,4,1,0
2069,1,0,"Inside",6057187.501,"Summer",2342,"Marvel",23557.2124042515,1,"Port Canaveral",189,4,5,1,0
2095,1,1,"Concierge",576759.495,"Summer",2520,"Star Wars",6435.62696179412,1,"Barcelona",41,3,5,1,0
2373,1,0,"Verandah",261.242,"Winter",2992,"NaN",2898.75434300911,1,"Copenhagen",41,5,10,1,0
2406,1,0,"Inside",1042.061,"Spring",1671,"Marvel",4061.37090751603,1,"Copenhagen",66,4,4,1,0
2490,1,0,"Concierge",1652097.182,"Winter",2148,"Star Wars",3449.29045352899,1,"Port Canaveral",43,3,9,1,0
2544,1,1,"Oceanview",1190184.806,"Spring",2507,"NaN",2898.75434300911,1,"Port Canaveral",83,4,10,1,0
2577,1,1,"Concierge",3376.339,"Fall",2245,"prin_fro",2898.75434300911,1,"Copenhagen",53,3,9,0,0
2652,1,0,"Inside",1162978.881,"Fall",1171,"Princess/Frozen",9013.24248309359,1,"Copenhagen",26,3,8,0,0
2989,1,0,"Concierge",14196.635,"Spring",3450,"prin_fro",2898.75434300911,1,"Port Canaveral",118,3,5,1,0
3101,1,1,"Inside",1004630.298,"Spring",1866,"Star Wars",7178.32397020049,1,"Barcelona",89,4,8,1,1
3143,1,0,"Concierge",399230.357,"Fall",2157,"Princess/Frozen",6835.49194785208,1,"Copenhagen",43,4,2,1,0
3150,1,0,"Verandah",3441330.972,"Winter",1925,"Marvel",40947.0883096267,1,"Port Canaveral",45,3,2,0,0
3197,1,0,"Oceanview",37214.2962848,"Winter",1814,"NaN",6894.91549069993,1,"Copenhagen",20,3,8,0,0
3199,1,0,"Oceanview",315121.516,"Summer",1951,"Marvel",17013.9428736884,1,"New York",15,3,4,0,0
3271,1,0,"Oceanview",120829.374112,"Fall",2203,"prin_fro",819.630013727024,1,"Barcelona",125,3,4,0,1
3363,1,0,"Verandah",75953.501,"Spring",2781,"NaN",14654.6904953957,1,"San Diego",60,4,5,0,0
3405,1,1,"Concierge",73492.799,"Fall",2644,"Princess/Frozen",2898.75434300911,1,"Copenhagen",77,3,9,0,0
3449,1,0,"Concierge",5888596.961,"Summer",3468,"NaN",30330.5224862628,1,"Copenhagen",111,4,2,0,0
3545,1,0,"Oceanview",1617818.504,"Spring",2858,"prin_fro",1808.63678506091,1,"Port Canaveral",163,4,5,0,0
3584,1,0,"Inside",384609.024,"Summer",2159,"NaN",2898.75434300911,1,"Barcelona",65,3,9,1,0
3642,1,0,"Concierge",2167.591,"Fall",2585,"prin_fro",2898.75434300911,1,"New York",194,3,9,0,0
3805,1,0,"Oceanview",371789.066,"Summer",2570,"Star Wars",1365.78673116453,1,"New York",169,3,7,1,0
3926,1,0,"Verandah",11334.218,"Summer",2933,"starwars",2839.52904459462,1,"San Diego",69,3,7,0,0
3998,1,0,"Oceanview",6024.404,"Spring",2429,"prin_fro",7632.63552321121,1,"Port Canaveral",210,3,6,0,0
4014,1,0,"Inside",212770.549,"Summer",2427,"NaN",2898.75434300911,1,"Barcelona",41,3,7,1,1
4190,1,0,"Concierge",13022.346,"Summer",2806,"Princess/Frozen",4077.10411237963,1,"Barcelona",121,4,9,1,1
4285,1,0,"Verandah",4000561.755,"Fall",2743,"Marvel",4340.72033222169,1,"Barcelona",41,3,8,0,0
4290,1,0,"Verandah",8706072.224,"Winter",1928,"prin_fro",45635.4354155794,1,"New York",71,3,7,0,0
4300,1,0,"Inside",835265.159,"Summer",1432,"starwars",2898.75434300911,1,"Barcelona",27,4,7,1,0
4381,1,1,"Concierge",56535.6730528,"Summer",2700,"Star Wars",4345.04205956385,1,"Copenhagen",35,4,4,0,0
4406,1,0,"Oceanview",3228798.405,"Spring",2042,"starwars",21878.5377727695,1,"New York",21,5,5,1,0
4464,1,0,"Concierge",1396608.457,"Summer",3122,"Marvel",2898.75434300911,1,"Port Canaveral",97,3,9,0,0
4731,1,0,"Oceanview",624451.222,"Winter",1609,"prin_fro",10848.0906889278,1,"San Diego",50,3,6,0,0
5095,1,0,"Verandah",12025.567,"Winter",2439,"Star Wars",2898.75434300911,1,"Copenhagen",138,4,5,0,0
5215,1,1,"Oceanview",283322.995,"Spring",1420,"Princess/Frozen",2898.75434300911,1,"New York",37,4,3,0,0
5396,1,1,"Verandah",23985.615,"Summer",2119,"Star Wars",14213.5395975497,1,"Barcelona",66,4,3,0,0
5442,1,0,"Oceanview",176247.546,"Spring",2822,"Princess/Frozen",2898.75434300911,1,"Copenhagen",25,4,6,0,0
5557,1,0,"Verandah",632212.181,"Summer",3173,"Marvel",2687.80071397573,1,"Port Canaveral",59,4,9,1,0
5592,1,1,"Verandah",6953298.537,"Summer",2592,"Princess/Frozen",48677.0679195628,1,"Copenhagen",40,4,4,0,0
5607,1,0,"Oceanview",1331524.512,"Summer",2873,"Marvel",2898.75434300911,1,"San Diego",105,3,10,1,0
5611,1,0,"Oceanview",745461.1,"Winter",2117,"prin_fro",6385.49919554405,1,"San Diego",120,3,8,0,0
5720,1,0,"Concierge",1210351.892,"Winter",3273,"Star Wars",2898.75434300911,1,"San Diego",54,6,6,1,0
5778,1,0,"Concierge",152.181,"Fall",3449,"Princess/Frozen",2173.79569718689,1,"New York",183,4,7,0,0
5960,1,0,"Concierge",40823.805,"Winter",2766,"NaN",10182.4946183808,1,"San Diego",112,4,10,1,0
6003,1,0,"Oceanview",58792.826,"Winter",2443,"prin_fro",3494.93620091788,1,"Port Canaveral",56,4,5,1,0
6021,1,1,"Oceanview",1044822.839,"Summer",2380,"Marvel",1630.36057773605,1,"Barcelona",154,3,4,0,0
6026,1,0,"Verandah",77930.695,"Summer",2260,"Star Wars",2898.75434300911,1,"New York",12,5,6,0,0
6241,1,0,"Concierge",114714.535,"Spring",3076,"Marvel",11186.3571572911,1,"Port Canaveral",112,4,5,1,0
6389,1,0,"Oceanview",17305.0377072,"Fall",2736,"prin_fro",2898.75434300911,1,"Port Canaveral",70,3,4,0,0
6437,1,1,"Concierge",792599.847,"Fall",2114,"Star Wars",1669.47905426957,1,"Port Canaveral",61,3,9,0,0
6605,1,1,"Verandah",3680.471,"Summer",3033,"Star Wars",2898.75434300911,1,"San Diego",80,4,4,0,1
6688,1,0,"Oceanview",936734.021,"Spring",2487,"Marvel",2898.75434300911,1,"San Diego",120,4,2,0,0
6701,1,1,"Oceanview",38543.702,"Fall",1852,"starwars",11318.2496541921,1,"New York",92,4,9,0,0
6782,1,0,"Verandah",4.298,"Winter",1836,"Star Wars",2898.75434300911,1,"New York",123,3,3,1,0
6890,1,0,"Oceanview",29816.949,"Fall",2415,"Princess/Frozen",16714.7384503439,1,"New York",5,3,5,0,0
6945,1,0,"Concierge",698794.037,"Summer",3173,"starwars",9708.11552750543,1,"San Diego",63,4,6,0,0
7036,1,1,"Verandah",100743.419,"Spring",3198,"NaN",2898.75434300911,1,"New York",121,4,3,0,0
7040,1,0,"Verandah",709931.695,"Winter",2464,"Princess/Frozen",713.476929070428,1,"San Diego",190,3,4,0,1
7108,1,0,"Concierge",95042.775,"Winter",2115,"prin_fro",2898.75434300911,1,"Barcelona",20,5,9,1,0
7177,1,0,"Verandah",2266064.082,"Spring",2397,"NaN",9349.38299337812,1,"New York",43,4,5,1,0
7202,1,0,"Inside",8536.943,"Spring",1617,"Princess/Frozen",5928.49650860056,1,"San Diego",88,3,8,0,0
7204,1,1,"Verandah",277.32,"Winter",1792,"Star Wars",2898.75434300911,1,"Barcelona",160,4,7,0,0
7429,1,1,"Oceanview",3623298.447,"Winter",2009,"NaN",6203.54708174132,1,"Barcelona",68,3,3,0,0
417,1,0,"Concierge",5622.541,"Winter",3088,"Princess/Frozen",2898.75434300911,1,"Copenhagen",27,3,7,0,1
438,1,0,"Concierge",62038.321,"Spring",3436,"Star Wars",2898.75434300911,1,"Port Canaveral",73,3,5,0,0
441,1,1,"Verandah",365.921,"Spring",2119,"prin_fro",2898.75434300911,1,"New York",52,3,4,1,0
670,1,0,"Inside",10283.935,"Fall",2034,"Marvel",2898.75434300911,1,"San Diego",142,3,6,1,1
839,1,1,"Concierge",44169.515,"Summer",2926,"starwars",4157.94500779547,1,"New York",10,4,6,0,0
868,1,0,"Inside",3646.669,"Spring",2384,"Marvel",7011.21029988565,1,"Port Canaveral",237,3,4,0,1
1115,1,0,"Verandah",66666.406,"Summer",2216,"Marvel",7399.40197458304,1,"New York",40,4,10,0,0
1134,1,1,"Concierge",81701.555,"Spring",2217,"starwars",9994.47681976333,1,"Port Canaveral",80,5,7,0,0
1175,1,1,"Concierge",526136.577,"Winter",2261,"prin_fro",12044.5496011317,1,"Port Canaveral",46,5,3,0,0
1406,1,0,"Inside",44146.266,"Fall",1913,"Marvel",2898.75434300911,1,"Copenhagen",134,4,10,0,0
1411,1,0,"Concierge",105954.548,"Fall",2633,"starwars",2898.75434300911,1,"New York",41,3,8,1,0
1556,1,1,"Inside",2535.834,"Fall",1822,"NaN",1699.64376943894,1,"New York",25,3,6,1,0
1590,1,0,"Verandah",48.89,"Spring",3083,"starwars",10093.8653742973,1,"New York",73,3,5,1,0
1625,1,0,"Verandah",70555.618,"Winter",2603,"Princess/Frozen",8653.28346551545,1,"San Diego",66,3,5,0,1
1686,1,0,"Concierge",17838.138,"Winter",2533,"NaN",4139.00315620191,1,"San Diego",112,3,3,0,1
1713,1,0,"Inside",125341.331,"Summer",2537,"prin_fro",12102.0293048304,1,"Barcelona",76,3,5,0,0
1834,1,1,"Verandah",41894.979,"Summer",2104,"Star Wars",2898.75434300911,1,"San Diego",155,4,5,0,0
1907,1,0,"Concierge",7391.816,"Fall",2451,"starwars",2898.75434300911,1,"Copenhagen",62,6,7,1,0
1994,1,0,"Oceanview",140136.879,"Fall",1543,"NaN",2898.75434300911,1,"Copenhagen",34,3,3,1,0
1998,1,1,"Verandah",54383.88,"Winter",2695,"Marvel",2898.75434300911,1,"Barcelona",22,3,2,0,0
2201,1,0,"Oceanview",3471.278,"Spring",2778,"prin_fro",3294.8319717072,1,"Barcelona",39,3,9,1,1
2275,1,0,"Verandah",89925.605,"Fall",2812,"Star Wars",3432.32228473611,1,"Barcelona",34,3,6,0,0
2323,1,0,"Inside",17147.121,"Summer",1408,"NaN",2898.75434300911,1,"Port Canaveral",150,3,3,0,0
2397,1,0,"Inside",2.15,"Winter",1819,"NaN",2898.75434300911,1,"Barcelona",41,3,6,1,0
2514,1,0,"Inside",718.731,"Winter",2028,"Princess/Frozen",2898.75434300911,1,"Copenhagen",133,3,2,1,0
2540,1,0,"Verandah",68.424,"Winter",2370,"prin_fro",2524.54676844254,1,"San Diego",136,3,4,0,0
2595,1,0,"Verandah",46064.965,"Spring",2232,"NaN",2898.75434300911,1,"New York",15,3,5,0,0
2705,1,0,"Verandah",20379.999,"Winter",2798,"Princess/Frozen",1357.10755722821,1,"Port Canaveral",69,4,6,0,0
2709,1,0,"Verandah",46746.462,"Winter",3117,"prin_fro",2898.75434300911,1,"New York",51,4,4,0,0
2712,1,0,"Concierge",19488.479,"Fall",2962,"starwars",2898.75434300911,1,"Port Canaveral",80,3,6,1,1
2766,1,0,"Inside",22237.065,"Spring",1102,"Marvel",2898.75434300911,1,"Barcelona",79,4,5,0,1
2825,1,0,"Verandah",5684.433,"Spring",2631,"Marvel",13416.9825700559,1,"New York",42,3,7,0,0
2835,1,1,"Inside",31283.746,"Spring",1593,"Princess/Frozen",3655.71065295786,1,"Barcelona",66,6,3,0,1
3043,1,0,"Oceanview",229172.201,"Spring",1567,"starwars",2898.75434300911,1,"Barcelona",50,3,5,0,0
3051,1,0,"Verandah",35177.162,"Winter",2589,"Marvel",2898.75434300911,1,"San Diego",245,3,7,0,0
